,name,Born,Died,Genres,Influences
28,Haruki Murakami,"in Fushimi-ku, Kyoto, Japan, January 12, 1949",Still alive,"['Fiction', 'Surrealism', 'Magical Realism']","['Franz Kafka', 'Fyodor Dostoevsky', 'Francis Scott Fitzgerald', 'Salinger', 'Raymond Carver', 'Kurt Vonnegut', 'Richard Brautigan', 'Jack Kerouac', 'Raymond Chandler', 'Stephen King', 'John Irving']"
29,Alexandre Dumas fils,"in Paris, France, July 27, 1824","November 27, 1895",['Literature & Fiction'],
30,Stephenie Meyer,"in Connecticut, The United States, December 24, 1973",Still alive,"['Science Fiction & Fantasy', 'Paranormal Romance', 'Young Adult']",[]
31,Ernest Hemingway,"in Oak Park, Illinois, The United States, July 21, 1899","July 02, 1961","['Fiction', 'Nonfiction', 'Classics']","['Mark Twain', 'Rudyard Kipling', 'Anton Chekhov', 'Theodore Roosevelt', 'Henry David Thoreau', 'Ivan Turgenev', 'Flaubert', 'Leo Tolstoy', 'Stendhal', 'Dostoyevsky', 'Cézanne']"
32,Helen Keller,"in Tuscumbia, Alabama, The United States, June 27, 1880","June 01, 1968","['Biographies & Memoirs', 'Nonfiction']",
33,George Bernard Shaw,"in Dublin, Ireland, July 26, 1856","November 02, 1950","['Literature & Fiction', 'Theater']","['Robert Ingersoll', 'Avro Manhattan', 'Annie Besant', 'Arthur Schopenhauer', 'Richard Wagner', 'Henrik Ibsen', 'Friedrich Nietzsche', 'Henry George']"
34,Charles Bukowski,"in Andernach, Germany, August 16, 1920","March 09, 1994","['Fiction', 'Contemporary', 'Poetry']","['John Fante', 'Louis-Ferdinand Céline', 'Knut Hamsun', 'Ernest Hemingway']"
35,Suzanne Collins,"in  Hartford, Connecticut, The United States, August 11, 1962",Still alive,"['Fiction', 'Science Fiction & Fantasy', 'Young Adult']",
36,J.R.R. Tolkien,"in Bloemfontein, Mangaung, Free State, South Africa, January 03, 1892","September 02, 1973","['Fantasy', 'Fiction', ""Children's""]","['Thomas Aquinas', 'George MacDonald', 'William Morris', 'E.R. Eddison', 'Francis Thompson']"
37,Alfred Tennyson,"in Somersby, Lincolnshire, England, August 06, 1809","October 06, 1892","['Poetry', 'Drama']","['Arthur Henry Hallam', 'John Keats', 'Thomas Malory']"
